postcode, ra_category, ra_name
3364, 1, Inner Regional Australia
3370, 1, Inner Regional Australia
3371, 1, Inner Regional Australia
3373, 1, Inner Regional Australia
3374, 1, Inner Regional Australia
3375, 1, Inner Regional Australia
3377, 1, Inner Regional Australia
3378, 1, Inner Regional Australia
3379, 2, Outer Regional Australia
3380, 1, Inner Regional Australia
3381, 2, Outer Regional Australia
3384, 2, Outer Regional Australia
3385, 2, Outer Regional Australia
3387, 2, Outer Regional Australia
3388, 2, Outer Regional Australia
3390, 2, Outer Regional Australia
3391, 2, Outer Regional Australia
3392, 2, Outer Regional Australia
3393, 2, Outer Regional Australia
3395, 3, Remote Australia
3396, 3, Remote Australia
3400, 2, Outer Regional Australia
3401, 2, Outer Regional Australia
3407, 2, Outer Regional Australia
3409, 2, Outer Regional Australia
3412, 2, Outer Regional Australia
3413, 2, Outer Regional Australia
3414, 2, Outer Regional Australia
3415, 2, Outer Regional Australia
3418, 2, Outer Regional Australia
